name,age,position,position_cat,market_value,page_views,fpl_value,fpl_sel,fpl_points,region,new_foreign,age_cat,club_id,big_club,new_signing
Alexis Sanchez,28,LW,1,65.0,4329,12.0,0.171,264,3.0,0,4,1,1,0
Mesut Ozil,28,AM,1,50.0,4395,9.5,0.055999999999999994,167,2.0,0,4,1,1,0
Petr Cech,35,GK,4,7.0,1529,5.5,0.059000000000000004,134,2.0,0,6,1,1,0
Theo Walcott,28,RW,1,20.0,2393,7.5,0.015,122,1.0,0,4,1,1,0
Laurent Koscielny,31,CB,3,22.0,912,6.0,0.006999999999999999,121,2.0,0,4,1,1,0
Hector Bellerin,22,RB,3,30.0,1675,6.0,0.13699999999999998,119,2.0,0,2,1,1,0
Olivier Giroud,30,CF,1,22.0,2230,8.5,0.025,116,2.0,0,4,1,1,0
Nacho Monreal,31,LB,3,13.0,555,5.5,0.047,115,2.0,0,4,1,1,0
Shkodran Mustafi,25,CB,3,30.0,1877,5.5,0.04,90,2.0,0,3,1,1,1
Alex Iwobi,21,LW,1,10.0,1812,5.5,0.01,89,4.0,0,1,1,1,0
Granit Xhaka,24,DM,2,35.0,1815,5.5,0.02,85,2.0,0,2,1,1,0
Alex Oxlade-Chamberlain,23,RM,2,22.0,1519,6.0,0.018000000000000002,83,1.0,0,2,1,1,0
Jack Wilshere,25,CM,2,18.0,1759,5.5,0.0,61,1.0,0,3,1,1,0
Aaron Ramsey,26,CM,2,35.0,1040,7.0,0.051,56,1.0,0,3,1,1,0
Francis Coquelin,26,DM,2,15.0,549,4.5,0.017,52,2.0,0,3,1,1,0
Gabriel Paulista,26,CB,3,13.0,552,5.0,0.001,45,3.0,0,3,1,1,0
Kieran Gibbs,27,LB,3,10.0,489,5.0,0.005,45,1.0,0,3,1,1,0
Santi Cazorla,32,CM,2,12.0,943,7.0,0.001,38,2.0,0,5,1,1,0
Danny Welbeck,26,CF,1,15.0,1521,7.5,0.005,37,1.0,0,3,1,1,0
Rob Holding,21,CB,3,7.0,666,5.0,0.017,32,1.0,0,1,1,1,1
Mohamed Elneny,25,DM,2,10.0,683,4.5,0.008,26,4.0,0,3,1,1,0
Lucas Perez,28,CF,1,15.0,2055,7.5,0.001,20,2.0,0,4,1,1,1
Emiliano Martinez,24,GK,4,1.0,372,4.0,0.042,8,3.0,0,2,1,1,0
David Ospina,28,GK,4,7.0,544,5.0,0.002,2,3.0,0,4,1,1,0
Carl Jenkinson,25,RB,3,5.0,561,4.5,0.004,2,1.0,0,3,1,1,0
Per Mertesacker,32,CB,3,6.0,702,5.0,0.01,1,2.0,0,5,1,1,0
Sead Kolasinac,24,LB,3,15.0,618,6.0,0.069,0,2.0,1,2,1,1,0
Alexandre Lacazette,26,CF,1,40.0,1183,10.5,0.265,0,2.0,1,3,1,1,0
Joshua King,25,SS,1,8.0,997,7.5,0.10400000000000001,178,2.0,0,3,2,0,0
Jermain Defoe,34,CF,1,5.0,3213,8.0,0.15,166,1.0,0,6,2,0,0
Charlie Daniels,30,LB,3,3.0,185,5.0,0.198,134,1.0,0,4,2,0,0
Artur Boruc,37,GK,4,1.0,436,4.5,0.069,120,2.0,0,6,2,0,0
Steve Cook,26,CB,3,5.0,184,5.0,0.02,112,1.0,0,3,2,0,0
Junior Stanislas,27,LW,1,4.5,315,6.0,0.006,107,1.0,0,3,2,0,0
Adam Smith,26,RB,3,5.0,200,5.0,0.009000000000000001,104,1.0,0,3,2,0,0
Ryan Fraser,23,LW,1,5.0,516,5.5,0.016,100,2.0,0,2,2,0,0
Simon Francis,32,RB,3,2.5,167,4.5,0.04,89,1.0,0,5,2,0,0
Benik Afobe,24,CF,1,10.0,528,6.0,0.006999999999999999,88,4.0,0,2,2,0,0
Harry Arter,27,CM,2,2.5,666,5.0,0.009000000000000001,84,2.0,0,3,2,0,0
Marc Pugh,30,LW,1,2.0,140,5.0,0.001,64,1.0,0,4,2,0,0
Callum Wilson,25,CF,1,10.0,337,6.0,0.002,63,1.0,0,3,2,0,0
