name,age,position_cat,market_value,page_views,fpl_value,fpl_sel,fpl_points,region,new_foreign,age_cat,club_id,big_club,new_signing,position_AM,position_CB,position_CF,position_CM,position_DM,position_GK,position_LB,position_LM,position_LW,position_RB,position_RM,position_RW,position_SS
Alexis Sanchez,28,1,65.0,4329,12.0,0.171,264,3.0,0,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mesut Ozil,28,1,50.0,4395,9.5,0.056,167,2.0,0,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Petr Cech,35,4,7.0,1529,5.5,0.059,134,2.0,0,6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Theo Walcott,28,1,20.0,2393,7.5,0.015,122,1.0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Laurent Koscielny,31,3,22.0,912,6.0,0.006999999999999999,121,2.0,0,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hector Bellerin,22,3,30.0,1675,6.0,0.13699999999999998,119,2.0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Olivier Giroud,30,1,22.0,2230,8.5,0.025,116,2.0,0,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nacho Monreal,31,3,13.0,555,5.5,0.047,115,2.0,0,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Shkodran Mustafi,25,3,30.0,1877,5.5,0.04,90,2.0,0,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Alex Iwobi,21,1,10.0,1812,5.5,0.01,89,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Granit Xhaka,24,2,35.0,1815,5.5,0.02,85,2.0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Alex Oxlade-Chamberlain,23,2,22.0,1519,6.0,0.018000000000000002,83,1.0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Jack Wilshere,25,2,18.0,1759,5.5,0.0,61,1.0,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Aaron Ramsey,26,2,35.0,1040,7.0,0.051,56,1.0,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Francis Coquelin,26,2,15.0,549,4.5,0.017,52,2.0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gabriel Paulista,26,3,13.0,552,5.0,0.001,45,3.0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kieran Gibbs,27,3,10.0,489,5.0,0.005,45,1.0,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Santi Cazorla,32,2,12.0,943,7.0,0.001,38,2.0,0,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Danny Welbeck,26,1,15.0,1521,7.5,0.005,37,1.0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
